k =   5 		map = 0.0731
k =  10 		map = 0.0782
k =  15 		map = 0.0776
k =  20 		map = 0.0781
k =  25 		map = 0.0783
k =  30 		map = 0.0787
k =  35 		map = 0.0781
k =  40 		map = 0.0783
k =  45 		map = 0.0779
k =  50 		map = 0.0780
k =  55 		map = 0.0778
k =  60 		map = 0.0776
k =  65 		map = 0.0777
k =  70 		map = 0.0776
k =  75 		map = 0.0776
k =  80 		map = 0.0776
k =  85 		map = 0.0776
k =  90 		map = 0.0776
k =  95 		map = 0.0775
k = 100 		map = 0.0774
k = 105 		map = 0.0777
k = 110 		map = 0.0775
k = 115 		map = 0.0775
k = 120 		map = 0.0776
k = 125 		map = 0.0776
k = 130 		map = 0.0776
k = 135 		map = 0.0776
k = 140 		map = 0.0775
k = 145 		map = 0.0776
k = 150 		map = 0.0776
k = 155 		map = 0.0775
k = 160 		map = 0.0777
k = 165 		map = 0.0776
k = 170 		map = 0.0776
k = 175 		map = 0.0776
k = 180 		map = 0.0777
k = 185 		map = 0.0777
k = 190 		map = 0.0777
k = 195 		map = 0.0777
k = 200 		map = 0.0777
k = 205 		map = 0.0777
k = 210 		map = 0.0777
k = 215 		map = 0.0777
k = 220 		map = 0.0777
k = 225 		map = 0.0777
k = 230 		map = 0.0777
k = 235 		map = 0.0777
k = 240 		map = 0.0777
k = 245 		map = 0.0777
